id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
12,čekat,гл.,несов.,,A1,Базовые глаголы,ждать,чекати,to wait,,"waiting,queue","https://loremflickr.com/640/480/waiting,queue",Čekám na autobus.,Я жду автобус.,Я чекаю на автобус.,Čekáme tu už hodinu.,Мы ждём здесь уже час.,Ми чекаємо тут уже годину.
13,dát,гл.,сов.,,A1,Базовые глаголы,дать; положить,дати; покласти,to give; to put,,"giving,hands","https://loremflickr.com/640/480/giving,hands","Dej mi to, prosím.","Дай мне это, пожалуйста.","Дай мені це, будь ласка.",Dal jsem klíče na stůl.,Я положил ключи на стол.,Я поклав ключі на стіл.
14,dávat,гл.,несов.,,A1,Базовые глаголы,давать,давати,to give,,,,Dávám dětem snídani.,Я даю детям завтрак.,Я даю дітям сніданок.,Nedávej mi tolik jídla.,Не давай мне столько еды.,Не давай мені стільки їжі.
15,dělat,гл.,несов.,,A1,Базовые глаголы,делать,робити,to do; to make,,,,Co děláš dnes večer?,Что ты делаешь сегодня вечером?,Що ти робиш сьогодні ввечері?,Nedělám nic zvláštního.,Я не делаю ничего особенного.,Я не роблю нічого особливого.
16,dívat se,гл.,несов.,,A1,Базовые глаголы,смотреть,дивитися,to look; to watch,,watching,https://loremflickr.com/640/480/watching,Dívám se na film.,Я смотрю фильм.,Я дивлюся фільм.,Nedívej se na mě tak.,Не смотри на меня так.,Не дивись на мене так.
17,dostat,гл.,сов.,,A1,Базовые глаголы,получить,отримати,to get; to receive,,,,Dostal jsem dopis.,Я получил письмо.,Я отримав листа.,Kdy dostanu odpověď?,Когда я получу ответ?,Коли я отримаю відповідь?
18,hledat,гл.,несов.,,A1,Базовые глаголы,искать,шукати,to look for; to search,,searching,https://loremflickr.com/640/480/searching,Hledám práci.,Я ищу работу.,Я шукаю роботу.,Co hledáš?,Что ты ищешь?,Що ти шукаєш?
19,končit,гл.,несов.,,A1,Базовые глаголы,заканчивать,закінчувати,to finish; to end,,,,Kdy končí ten film?,Когда заканчивается фильм?,Коли закінчується цей фільм?,Obchod končí v osm.,Магазин закрывается в восемь.,Магазин зачиняється о восьмій.
20,ležet,гл.,несов.,,A1,Базовые глаголы,лежать,лежати,to lie,,"lying,bed","https://loremflickr.com/640/480/lying,bed",Kniha leží na stole.,Книга лежит на столе.,Книга лежить на столі.,Ležel jsem celý den v posteli.,Я весь день лежал в кровати.,Я весь день лежав у ліжку.
21,mít,гл.,несов.,,A1,Базовые глаголы,иметь,мати,to have,,,,Mám dvě děti.,У меня двое детей.,У мене двоє дітей.,Nemám čas.,У меня нет времени.,У мене немає часу.
22,moct,гл.,несов.,,A1,Базовые глаголы,мочь,могти,can; to be able to,,,,Můžu jít s tebou?,Можно мне пойти с тобой?,Можна мені піти з тобою?,"Nemůžu přijít, jsem nemocný.","Я не могу прийти, я болен.","Я не можу прийти, я хворий."
23,muset,гл.,несов.,,A1,Базовые глаголы,быть должным,мусити,must; to have to,,,,Musím jít do práce.,Мне нужно идти на работу.,Мені треба йти на роботу.,Musíš to udělat dnes.,Ты должен сделать это сегодня.,Ти мусиш зробити це сьогодні.
24,myslet,гл.,несов.,,A1,Базовые глаголы,думать,думати,to think,,thinking,https://loremflickr.com/640/480/thinking,"Myslím, že máš pravdu.","Я думаю, ты прав.","Я думаю, ти маєш рацію.",Na co myslíš?,О чём ты думаешь?,Про що ти думаєш?
25,najít,гл.,сов.,,A1,Базовые глаголы,найти,знайти,to find,,,,Nemůžu najít klíče.,Я не могу найти ключи.,Я не можу знайти ключі.,Našel jsem tvůj telefon.,Я нашёл твой телефон.,Я знайшов твій телефон.
26,narodit se,гл.,сов.,,A1,Базовые глаголы,родиться,народитися,to be born,,"newborn,baby","https://loremflickr.com/640/480/newborn,baby",Narodil jsem se v Kyjevě.,Я родился в Киеве.,Я народився в Києві.,Narodila se v roce 1990.,Она родилась в 1990 году.,Вона народилася 1990 року.
27,odejít,гл.,сов.,,A1,Базовые глаголы,уйти,піти,to leave; to go away,,,,Musím odejít dřív.,Мне нужно уйти раньше.,Мені треба піти раніше.,Odešel bez rozloučení.,Он ушёл не попрощавшись.,Він пішов не попрощавшись.
28,odjet,гл.,сов.,,A1,Базовые глаголы,уехать,поїхати,to leave (by vehicle),,,,Odjíždíme zítra ráno.,Мы уезжаем завтра утром.,Ми від'їжджаємо завтра вранці.,Odjel do Brna.,Он уехал в Брно.,Він поїхав до Брна.
29,otevřít,гл.,сов.,,A1,Базовые глаголы,открыть,відкрити,to open,,"open,door","https://loremflickr.com/640/480/open,door","Otevři okno, prosím.","Открой окно, пожалуйста.","Відчини вікно, будь ласка.",Obchod otevírá v sedm.,Магазин открывается в семь.,Магазин відчиняється о сьомій.
30,počkat,гл.,сов.,,A1,Базовые глаголы,подождать,почекати,to wait,,,,Počkej na mě!,Подожди меня!,Зачекай на мене!,Počkám tady.,Я подожду здесь.,Я почекаю тут.
31,podívat se,гл.,сов.,,A1,Базовые глаголы,посмотреть,подивитися,to have a look,,,,Podívej se na to!,Посмотри на это!,Подивись на це!,Podíval jsem se do lednice.,Я заглянул в холодильник.,Я зазирнув у холодильник.
32,pomáhat,гл.,несов.,,A1,Базовые глаголы,помогать,допомагати,to help,,"helping,hands","https://loremflickr.com/640/480/helping,hands",Pomáhám mamince.,Я помогаю маме.,Я допомагаю мамі.,Kdo ti pomáhá s češtinou?,Кто помогает тебе с чешским?,Хто допомагає тобі з чеською?
33,pomoct,гл.,сов.,,A1,Базовые глаголы,помочь,допомогти,to help,,,,Můžeš mi pomoct?,Можешь мне помочь?,Можеш мені допомогти?,Pomohl mi najít byt.,Он помог мне найти квартиру.,Він допоміг мені знайти квартиру.
34,poslat,гл.,сов.,,A1,Базовые глаголы,послать; отправить,надіслати,to send,,"mail,envelope","https://loremflickr.com/640/480/mail,envelope",Pošlu ti to e-mailem.,Я отправлю тебе это по почте.,Я надішлю тобі це поштою.,Poslal jsem dopis včera.,Я отправил письмо вчера.,Я надіслав листа вчора.
35,potřebovat,гл.,несов.,,A1,Базовые глаголы,нуждаться,потребувати,to need,,,,Potřebuji pomoc.,Мне нужна помощь.,Мені потрібна допомога.,Co potřebuješ?,Что тебе нужно?,Що тобі потрібно?
36,přijet,гл.,сов.,,A1,Базовые глаголы,приехать,приїхати,to arrive (by vehicle),,,,Přijel jsem do Prahy loni.,Я приехал в Прагу в прошлом году.,Я приїхав до Праги торік.,Kdy přijedeš?,Когда ты приедешь?,Коли ти приїдеш?
37,přijít,гл.,сов.,,A1,Базовые глаголы,прийти,прийти,to come; to arrive,,,,Přijď v šest hodin.,Приходи в шесть часов.,Приходь о шостій.,Přišla pozdě.,Она пришла поздно.,Вона прийшла пізно.
38,psát,гл.,несов.,,A1,Базовые глаголы,писать,писати,to write,,"writing,pen","https://loremflickr.com/640/480/writing,pen",Píšu e-mail.,Я пишу письмо.,Я пишу листа.,Píše se to s háčkem.,Это пишется с гачеком.,Це пишеться з гачеком.
39,sedět,гл.,несов.,,A1,Базовые глаголы,сидеть,сидіти,to sit,,"sitting,chair","https://loremflickr.com/640/480/sitting,chair",Sedím u okna.,Я сижу у окна.,Я сиджу біля вікна.,Seděli jsme v kavárně.,Мы сидели в кафе.,Ми сиділи в кав'ярні.
40,sednout si,гл.,сов.,,A1,Базовые глаголы,сесть,сісти,to sit down,,,,"Sedni si, prosím.","Садись, пожалуйста.","Сідай, будь ласка.",Sedl jsem si na židli.,Я сел на стул.,Я сів на стілець.
41,skončit,гл.,сов.,,A1,Базовые глаголы,закончить,закінчити,to finish,,,,Práce skončila v pět.,Работа закончилась в пять.,Робота закінчилася о п'ятій.,Kdy to skončí?,Когда это закончится?,Коли це закінчиться?
42,stát,гл.,несов.,,A1,Базовые глаголы,стоять; стоить,стояти; коштувати,to stand; to cost,Оба значения,standing,https://loremflickr.com/640/480/standing,Stojím ve frontě.,Я стою в очереди.,Я стою в черзі.,Kolik to stojí?,Сколько это стоит?,Скільки це коштує?
43,udělat,гл.,сов.,,A1,Базовые глаголы,сделать,зробити,to do; to make,,,,Udělám to zítra.,Я сделаю это завтра.,Я зроблю це завтра.,Udělal jsi chybu.,Ты сделал ошибку.,Ти зробив помилку.
44,umět,гл.,несов.,,A1,Базовые глаголы,уметь,вміти,to know how; can,,,,Umím trochu česky.,Я немного умею по-чешски.,Я трохи вмію чеською.,Neumím vařit.,Я не умею готовить.,Я не вмію готувати.
45,vědět,гл.,несов.,,A1,Базовые глаголы,знать (факт),знати (факт),to know (a fact),Отличается от znát,,,"Nevím, kde to je.","Я не знаю, где это.","Я не знаю, де це.","Víš, kolik je hodin?","Ты знаешь, который час?","Ти знаєш, котра година?"
46,vidět,гл.,несов.,,A1,Базовые глаголы,видеть,бачити,to see,,"eye,seeing","https://loremflickr.com/640/480/eye,seeing",Vidím tě.,Я тебя вижу.,Я тебе бачу.,Neviděl jsem ho dlouho.,Я давно его не видел.,Я давно його не бачив.
47,vrátit se,гл.,сов.,,A1,Базовые глаголы,вернуться,повернутися,to come back; to return,,,,Vrátím se v pět.,Я вернусь в пять.,Я повернуся о п'ятій.,Vrátila se domů pozdě.,Она вернулась домой поздно.,Вона повернулася додому пізно.
48,vypnout,гл.,сов.,,A1,Базовые глаголы,выключить,вимкнути,to turn off,,"switch,off","https://loremflickr.com/640/480/switch,off",Vypni televizi.,Выключи телевизор.,Вимкни телевізор.,Zapomněl jsem vypnout světlo.,Я забыл выключить свет.,Я забув вимкнути світло.
49,vzít,гл.,сов.,,A1,Базовые глаголы,взять,взяти,to take,,,,Vezmi si deštník.,Возьми зонт.,Візьми парасольку.,Vzal jsem si volno.,Я взял выходной.,Я взяв вихідний.
50,začínat,гл.,несов.,,A1,Базовые глаголы,начинать,починати,to begin,,,,Škola začíná v září.,Школа начинается в сентябре.,Школа починається у вересні.,Začínám v osm ráno.,Я начинаю в восемь утра.,Я починаю о восьмій ранку.
51,začít,гл.,сов.,,A1,Базовые глаголы,начать,почати,to start,,,,Začal jsem se učit česky.,Я начал учить чешский.,Я почав учити чеську.,Kdy začne film?,Когда начнётся фильм?,Коли почнеться фільм?
52,zapnout,гл.,сов.,,A1,Базовые глаголы,включить,увімкнути,to turn on,,"switch,on","https://loremflickr.com/640/480/switch,on",Zapni prosím světlo.,"Включи, пожалуйста, свет.","Увімкни, будь ласка, світло.",Zapnul jsem počítač.,Я включил компьютер.,Я увімкнув комп'ютер.
53,zavřít,гл.,сов.,,A1,Базовые глаголы,закрыть,закрити,to close,,"closed,door","https://loremflickr.com/640/480/closed,door",Zavři dveře.,Закрой дверь.,Зачини двері.,Obchod je zavřený.,Магазин закрыт.,Магазин зачинений.
54,znát,гл.,несов.,,A1,Базовые глаголы,знать (быть знакомым),знати,to know (be familiar with),,,,Znám ho z práce.,Я знаю его по работе.,Я знаю його з роботи.,Neznám tady nikoho.,Я тут никого не знаю.,Я тут нікого не знаю.
55,žít,гл.,несов.,,A1,Базовые глаголы,жить,жити,to live,,,,Žiju v Praze.,Я живу в Праге.,Я живу в Празі.,Žili tam deset let.,Они прожили там десять лет.,Вони прожили там десять років.
56,ano,частица,,,A1,Базовые слова,да,так,yes,,,,"Ano, souhlasím.","Да, я согласен.","Так, я згоден.","Ano, prosím.","Да, пожалуйста.","Так, будь ласка."
57,bohužel,нареч.,,,A1,Базовые слова,к сожалению,на жаль,unfortunately,,,,Bohužel nemám čas.,"К сожалению, у меня нет времени.","На жаль, у мене немає часу.",Bohužel to nejde.,"К сожалению, это невозможно.","На жаль, це неможливо."
58,dobře,нареч.,,,A1,Базовые слова,хорошо,добре,well; good,,,,Mám se dobře.,У меня всё хорошо.,У мене все добре.,Mluvíš dobře česky.,Ты хорошо говоришь по-чешски.,Ти добре говориш чеською.
59,možná,нареч.,,,A1,Базовые слова,может быть; возможно,можливо,maybe; perhaps,,,,Možná přijdu později.,"Возможно, я приду позже.","Можливо, я прийду пізніше.",Možná máš pravdu.,"Может быть, ты прав.","Можливо, ти маєш рацію."
60,ne,частица,,,A1,Базовые слова,нет; не,ні; не,no; not,,,,"Ne, děkuji.","Нет, спасибо.","Ні, дякую.","Ne, to není pravda.","Нет, это неправда.","Ні, це неправда."
61,špatně,нареч.,,,A1,Базовые слова,плохо,погано,badly,,,,Cítím se špatně.,Я плохо себя чувствую.,Я почуваюся погано.,Napsal jsem to špatně.,Я написал это неправильно.,Я написав це неправильно.
62,hezký,прил.,,,A1,Внешность,симпатичный; красивый,гарний,nice; pretty,,,,Máš hezký svetr.,У тебя красивый свитер.,У тебе гарний светр.,Je to hezké město.,Это красивый город.,Це гарне місто.
63,krásný,прил.,,,A1,Внешность,красивый,красивий,beautiful,,,,Praha je krásná.,Прага красивая.,Прага гарна.,Byl to krásný den.,Это был прекрасный день.,Це був прекрасний день.
64,malý,прил.,,,A1,Внешность,маленький,малий,small,,small,https://loremflickr.com/640/480/small,Mám malý byt.,У меня маленькая квартира.,У мене маленька квартира.,To je malé dítě.,Это маленький ребёнок.,Це маленька дитина.
65,mladý,прил.,,,A1,Внешность,молодой,молодий,young,,young,https://loremflickr.com/640/480/young,Je ještě mladý.,Он ещё молодой.,Він ще молодий.,Mladí lidé tam chodí často.,Молодые люди туда часто ходят.,Молоді люди туди часто ходять.
66,oči,сущ.,мн.ч.,očí,A1,Внешность,глаза,очі,eyes,,eyes,https://loremflickr.com/640/480/eyes,Má modré oči.,У неё голубые глаза.,У неї блакитні очі.,Bolí mě oči.,У меня болят глаза.,У мене болять очі.
67,starý,прил.,,,A1,Внешность,старый,старий,old,,old,https://loremflickr.com/640/480/old,Ten dům je starý.,Этот дом старый.,Цей будинок старий.,Můj starý telefon nefunguje.,Мой старый телефон не работает.,Мій старий телефон не працює.
68,světlý,прил.,,,A1,Внешность,светлый,світлий,light (colour),,,,Mám rád světlé pivo.,Я люблю светлое пиво.,Я люблю світле пиво.,V pokoji je světlá podlaha.,В комнате светлый пол.,У кімнаті світла підлога.
69,tmavý,прил.,,,A1,Внешность,тёмный,темний,dark,,dark,https://loremflickr.com/640/480/dark,Má tmavé vlasy.,У него тёмные волосы.,У нього темне волосся.,Venku je už tmavo.,На улице уже темно.,Надворі вже темно.
70,vlasy,сущ.,мн.ч.,vlasů,A1,Внешность,волосы,волосся,hair,,hair,https://loremflickr.com/640/480/hair,Má dlouhé vlasy.,У неё длинные волосы.,У неї довге волосся.,Musím si umýt vlasy.,Мне нужно помыть голову.,Мені треба помити волосся.
71,vysoký,прил.,,,A1,Внешность,высокий,високий,tall; high,,tall,https://loremflickr.com/640/480/tall,Je velmi vysoký.,Он очень высокий.,Він дуже високий.,Je to vysoká budova.,Это высокое здание.,Це висока будівля.
72,co,мест.,,,A1,Вопросительные слова,что,що,what,,,,Co je to?,Что это?,Що це?,Co děláš?,Что ты делаешь?,Що ти робиш?
73,jak,нареч.,,,A1,Вопросительные слова,как,як,how,,,,Jak se máš?,Как дела?,Як справи?,Jak se to řekne česky?,Как это сказать по-чешски?,Як це сказати чеською?
74,jaký,мест.,,,A1,Вопросительные слова,какой,який,what kind of,,,,Jaký je to film?,Что это за фильм?,Що це за фільм?,Jaké máš plány?,Какие у тебя планы?,Які в тебе плани?
75,kam,нареч.,,,A1,Вопросительные слова,куда,куди,where to,,,,Kam jdeš?,Куда ты идёшь?,Куди ти йдеш?,Kam mám dát tašku?,Куда мне положить сумку?,Куди мені покласти сумку?
76,kde,нареч.,,,A1,Вопросительные слова,где,де,where,,,,Kde bydlíš?,Где ты живёшь?,Де ти живеш?,Kde je zastávka?,Где остановка?,Де зупинка?
77,kdo,мест.,,,A1,Вопросительные слова,кто,хто,who,,,,Kdo je to?,Кто это?,Хто це?,Kdo přijde?,Кто придёт?,Хто прийде?
78,kdy,нареч.,,,A1,Вопросительные слова,когда,коли,when,,,,Kdy máš čas?,Когда у тебя есть время?,Коли ти маєш час?,Kdy začíná film?,Когда начинается фильм?,Коли починається фільм?
79,kolik,нареч.,,,A1,Вопросительные слова,сколько,скільки,how much; how many,,,,Kolik to stojí?,Сколько это стоит?,Скільки це коштує?,Kolik je hodin?,Который час?,Котра година?
80,který,мест.,,,A1,Вопросительные слова,который,котрий; який,which,,,,Který autobus jede do centra?,Какой автобус едет в центр?,Який автобус їде в центр?,Kterou knihu chceš?,Какую книгу ты хочешь?,Яку книгу ти хочеш?
81,odkud,нареч.,,,A1,Вопросительные слова,откуда,звідки,where from,,,,Odkud jsi?,Откуда ты?,Звідки ти?,Odkud jede ten vlak?,Откуда идёт этот поезд?,Звідки їде цей потяг?
82,proč,нареч.,,,A1,Вопросительные слова,почему,чому,why,,,,Proč nejdeš s námi?,Почему ты не идёшь с нами?,Чому ти не йдеш з нами?,Proč se učíš česky?,Почему ты учишь чешский?,Чому ти вчиш чеську?
83,brzy,нареч.,,,A1,Время и дата,скоро; рано,скоро; рано,soon; early,,,,Brzy se uvidíme.,Скоро увидимся.,Скоро побачимося.,Vstávám brzy ráno.,Я встаю рано утром.,Я встаю рано вранці.
84,březen,сущ.,м.р.,března,A1,Время и дата,март,березень,March,,,,V březnu je ještě zima.,В марте ещё холодно.,У березні ще холодно.,Přijedu v březnu.,Я приеду в марте.,Я приїду в березні.
85,čas,сущ.,м.р.,času,A1,Время и дата,время,час,time,Ложный друг: «час» = hodina,"clock,time","https://loremflickr.com/640/480/clock,time",Nemám na to čas.,У меня нет на это времени.,У мене немає на це часу.,Kolik času potřebuješ?,Сколько времени тебе нужно?,Скільки часу тобі потрібно?
86,často,нареч.,,,A1,Время и дата,часто,часто,often,,,,Chodím tam často.,Я часто туда хожу.,Я часто туди ходжу.,Často se vídáme.,Мы часто видимся.,Ми часто бачимося.
87,červen,сущ.,м.р.,června,A1,Время и дата,июнь,червень,June,,,,V červnu jedeme k moři.,В июне мы едем на море.,У червні ми їдемо на море.,Červen je krásný měsíc.,Июнь — прекрасный месяц.,Червень — прекрасний місяць.
88,červenec,сущ.,м.р.,července,A1,Время и дата,июль,липень,July,,,,Dovolenou mám v červenci.,Отпуск у меня в июле.,Відпустка в мене в липні.,Červenec je nejteplejší měsíc.,Июль — самый тёплый месяц.,Липень — найтепліший місяць.
89,čtvrtek,сущ.,м.р.,čtvrtka,A1,Время и дата,четверг,четвер,Thursday,,,,Ve čtvrtek mám volno.,В четверг у меня выходной.,У четвер у мене вихідний.,Uvidíme se ve čtvrtek.,Увидимся в четверг.,Побачимося в четвер.
90,další,прил.,,,A1,Время и дата,следующий; ещё один,наступний; ще один,next; another,,,,Další zastávka je Muzeum.,Следующая остановка — Музей.,Наступна зупинка — Музей.,Dej si ještě další kávu.,Выпей ещё одну кофе.,Випий ще одну каву.
91,datum,сущ.,ср.р.,data,A1,Время и дата,дата,дата,date,,calendar,https://loremflickr.com/640/480/calendar,Jaké je dnes datum?,Какое сегодня число?,Яке сьогодні число?,Napište datum narození.,Напишите дату рождения.,Напишіть дату народження.
92,den,сущ.,м.р.,dne,A1,Время и дата,день,день,day,,"day,sun","https://loremflickr.com/640/480/day,sun",Dnes je krásný den.,Сегодня прекрасный день.,Сьогодні чудовий день.,Pracuji osm hodin denně.,Я работаю восемь часов в день.,Я працюю вісім годин на день.
93,dnes,нареч.,,,A1,Время и дата,сегодня,сьогодні,today,,,,Dnes nemám čas.,Сегодня у меня нет времени.,Сьогодні я не маю часу.,Dnes je pondělí.,Сегодня понедельник.,Сьогодні понеділок.
94,duben,сущ.,м.р.,dubna,A1,Время и дата,апрель,квітень,April,,,,V dubnu často prší.,В апреле часто идёт дождь.,У квітні часто йде дощ.,Přijedu prvního dubna.,Я приеду первого апреля.,Я приїду першого квітня.
95,hned,нареч.,,,A1,Время и дата,сразу; сейчас же,одразу,immediately; right away,,,,Přijdu hned.,Я сейчас приду.,Я зараз прийду.,Udělej to hned.,Сделай это сразу.,Зроби це одразу.
96,hodina,сущ.,ж.р.,hodiny,A1,Время и дата,час; урок,година; урок,hour; lesson,,"clock,hour","https://loremflickr.com/640/480/clock,hour",Čekám tu už hodinu.,Я жду здесь уже час.,Я чекаю тут уже годину.,Máme hodinu češtiny.,У нас урок чешского.,У нас урок чеської.
97,jaro,сущ.,ср.р.,jara,A1,Время и дата,весна,весна,spring,,"spring,flowers","https://loremflickr.com/640/480/spring,flowers",Na jaře je hezky.,Весной хорошая погода.,Навесні гарна погода.,Těším se na jaro.,Я жду весну.,Я чекаю на весну.
98,ještě,нареч.,,,A1,Время и дата,ещё,ще,still; yet,,,,Máš ještě čas?,У тебя ещё есть время?,У тебе ще є час?,Ještě jsem to nedodělal.,Я это ещё не доделал.,Я це ще не доробив.
99,květen,сущ.,м.р.,května,A1,Время и дата,май,травень,May,,,,V květnu kvetou stromy.,В мае цветут деревья.,У травні цвітуть дерева.,Sejdeme se v květnu.,Встретимся в мае.,Зустрінемося в травні.
100,leden,сущ.,м.р.,ledna,A1,Время и дата,январь,січень,January,,,,V lednu je hodně sněhu.,В январе много снега.,У січні багато снігу.,Začínám prvního ledna.,Я начинаю первого января.,Я починаю першого січня.
101,léto,сущ.,ср.р.,léta,A1,Время и дата,лето,літо,summer,,"summer,beach","https://loremflickr.com/640/480/summer,beach",V létě jezdíme k moři.,Летом мы ездим на море.,Влітку ми їздимо на море.,Bylo to horké léto.,Это было жаркое лето.,Це було спекотне літо.
102,listopad,сущ.,м.р.,listopadu,A1,Время и дата,ноябрь,листопад,November,,,,V listopadu je mlha.,В ноябре туман.,У листопаді туман.,Listopad je smutný měsíc.,Ноябрь — грустный месяц.,Листопад — сумний місяць.
103,měsíc,сущ.,м.р.,měsíce,A1,Время и дата,месяц; луна,місяць,month; moon,,moon,https://loremflickr.com/640/480/moon,Bydlím tu už tři měsíce.,Я живу здесь уже три месяца.,Я живу тут уже три місяці.,Dnes svítí měsíc.,Сегодня светит луна.,Сьогодні світить місяць.
104,minulý,прил.,,,A1,Время и дата,прошлый,минулий,last; previous,,,,Minulý týden jsem byl nemocný.,На прошлой неделе я болел.,Минулого тижня я хворів.,Minulý rok jsem se přestěhoval.,В прошлом году я переехал.,Минулого року я переїхав.
105,minuta,сущ.,ж.р.,minuty,A1,Время и дата,минута,хвилина,minute,,stopwatch,https://loremflickr.com/640/480/stopwatch,Počkej pět minut.,Подожди пять минут.,Зачекай п'ять хвилин.,Autobus jede za minutu.,Автобус едет через минуту.,Автобус їде за хвилину.
106,neděle,сущ.,ж.р.,neděle,A1,Время и дата,воскресенье,неділя,Sunday,Ложный друг: НЕ «неделя» (= týden),,,V neděli nepracuji.,В воскресенье я не работаю.,У неділю я не працюю.,Neděle je den odpočinku.,Воскресенье — день отдыха.,Неділя — день відпочинку.
107,někdy,нареч.,,,A1,Время и дата,иногда; когда-нибудь,іноді; колись,sometimes,,,,Někdy chodím do kina.,Иногда я хожу в кино.,Іноді я ходжу в кіно.,Přijď někdy na návštěvu.,Приходи как-нибудь в гости.,Приходь колись у гості.
108,nikdy,нареч.,,,A1,Время и дата,никогда,ніколи,never,,,,Nikdy jsem tam nebyl.,Я никогда там не был.,Я ніколи там не був.,Nikdy neříkej nikdy.,Никогда не говори «никогда».,Ніколи не кажи «ніколи».
109,noc,сущ.,ж.р.,noci,A1,Время и дата,ночь,ніч,night,,night,https://loremflickr.com/640/480/night,Dobrou noc!,Спокойной ночи!,Надобраніч!,V noci jsem nespal.,Ночью я не спал.,Уночі я не спав.
110,odpoledne,сущ.,ср.р.,odpoledne,A1,Время и дата,вторая половина дня,друга половина дня,afternoon,,afternoon,https://loremflickr.com/640/480/afternoon,Odpoledne mám schůzku.,Днём у меня встреча.,По обіді в мене зустріч.,Přijdu v pondělí odpoledne.,Я приду в понедельник днём.,Я прийду в понеділок по обіді.
111,pátek,сущ.,м.р.,pátku,A1,Время и дата,пятница,п'ятниця,Friday,,,,V pátek jdeme do hospody.,В пятницу мы идём в пивную.,У п'ятницю ми йдемо в пивну.,Pátek je můj oblíbený den.,Пятница — мой любимый день.,П'ятниця — мій улюблений день.
112,podzim,сущ.,м.р.,podzimu,A1,Время и дата,осень,осінь,autumn; fall,,"autumn,leaves","https://loremflickr.com/640/480/autumn,leaves",Na podzim padá listí.,Осенью падают листья.,Восени опадає листя.,Podzim je tady chladný.,Осень здесь холодная.,Осінь тут холодна.
113,pondělí,сущ.,ср.р.,pondělí,A1,Время и дата,понедельник,понеділок,Monday,,,,V pondělí začínám v osm.,В понедельник я начинаю в восемь.,У понеділок я починаю о восьмій.,Pondělí nemám rád.,Понедельник я не люблю.,Понеділок я не люблю.
114,pozdě,нареч.,,,A1,Время и дата,поздно,пізно,late,,,,Přišel jsem pozdě.,Я пришёл поздно.,Я прийшов пізно.,"Je pozdě, jdu domů.","Поздно, я иду домой.","Пізно, я йду додому."
115,prosinec,сущ.,м.р.,prosince,A1,Время и дата,декабрь,грудень,December,,,,V prosinci jsou Vánoce.,В декабре Рождество.,У грудні Різдво.,Prosinec je nejtmavší měsíc.,Декабрь — самый тёмный месяц.,Грудень — найтемніший місяць.
